YEAR MO DY HR T2M T2MDEW T2MWET QV2M RH2M PRECTOTCORR PS WS2M WD2M WS10M WD10M
2021 1 2 6 18.25 17.4 17.83 14.53 94.69 1.86 85.84 5.56 93.22 8.04 93.23
2021 1 2 7 19.72 17.96 18.83 15.01 89.44 0.53 85.88 6.46 83.96 9.28 84.01
2021 1 2 8 21.69 17.89 19.79 14.95 78.88 0.19 85.88 6.76 76.29 9.59 76.28
2021 1 2 9 23.4 17.37 20.38 14.47 68.75 0.1 85.86 6.76 72.8 9.49 72.8
2021 1 2 10 24.62 16.95 20.79 14.1 62.25 0.04 85.83 6.81 70.92 9.51 70.91
2021 1 2 11 25.37 16.73 21.05 13.92 58.69 0.02 85.79 6.75 68.61 9.39 68.62
2021 1 2 12 25.76 16.7 21.23 13.92 57.31 0.02 85.77 6.46 67.62 8.97 67.59
2021 1 2 13 25.65 16.67 21.15 13.85 57.5 0.02 85.74 6.15 68.52 8.52 68.49
2021 1 2 14 25.33 16.53 20.94 13.73 58.06 0.03 85.71 5.84 70.3 8.12 70.31
2021 1 2 15 24.76 16.26 20.51 13.49 59.06 0.04 85.71 5.51 71.57 7.71 71.57
2021 1 2 16 23.81 16.15 19.98 13.43 62.12 0.05 85.73 4.97 71.39 7.06 71.4
2021 1 2 17 22.29 16.81 19.55 13.98 71.06 0.06 85.79 3.76 68.55 5.49 68.55
2021 1 2 18 20.24 17.55 18.9 14.65 84.38 0.08 85.85 2.3 58.04 3.6 58.31
2021 1 2 19 19.43 17.81 18.62 14.89 90.25 0.12 85.88 2.28 40.56 3.49 41.1
2021 1 2 20 19.13 17.98 18.55 15.08 92.88 0.12 85.87 2.4 34.67 3.55 34.77
2021 1 2 21 18.77 18.01 18.4 15.08 95.25 0.14 85.93 2.09 53.34 3.17 53.02
2021 1 2 22 18.48 17.77 18.12 14.83 95.5 0.15 85.97 2.39 68.55 3.6 68.34
2021 1 2 23 18.23 17.48 17.85 14.59 95.25 0.19 85.97 2.84 76.5 4.23 76.55
2021 1 3 0 17.83 17.17 17.51 14.28 95.75 0.2 85.95 2.89 84.41 4.31 84.38
2021 1 3 1 17.41 16.81 17.11 13.98 96.12 0.19 85.93 2.91 88.31 4.35 88.35
2021 1 3 2 17 16.42 16.71 13.61 96.25 0.13 85.94 3.1 91.74 4.63 91.74
2021 1 3 3 16.64 16.1 16.37 13.31 96.5 0.07 85.96 3.17 95.37 4.73 95.31
2021 1 3 4 16.3 15.8 16.05 13.06 96.69 0.04 85.99 3.26 99.1 4.87 99.05
2021 1 3 5 16.11 15.59 15.85 12.88 96.62 0.02 86.03 3.36 101.81 4.99 101.75
2021 1 3 6 16.99 15.77 16.38 13.06 92.38 0.01 86.06 4.24 101.04 6.07 101.06
2021 1 3 7 18.91 15.7 17.31 13 81.5 0 86.05 4.87 96.27 6.81 96.26
2021 1 3 8 21.35 15.12 18.24 12.51 67.5 0 86.02 4.98 90.18 6.86 90.2
2021 1 3 9 23.21 14.89 19.05 12.33 59.38 0 85.98 4.81 85.15 6.53 85.13
2021 1 3 10 24.62 14.87 19.75 12.33 54.44 0 85.93 4.53 81.67 6.09 81.66
2021 1 3 11 25.62 14.84 20.23 12.33 51.25 0.01 85.87 4.26 79.86 5.67 79.93
2021 1 3 12 26.24 14.77 20.51 12.27 49.19 0.01 85.81 4.02 79.93 5.33 79.88
2021 1 3 13 26.41 14.76 20.58 12.27 48.62 0.02 85.74 3.83 80.73 5.08 80.71
2021 1 3 14 26.04 14.65 20.34 12.21 49.38 0.04 85.68 3.7 81.87 4.92 81.88
2021 1 3 15 25.17 14.5 19.83 12.08 51.5 0.05 85.65 3.56 83.33 4.83 83.31
2021 1 3 16 23.95 14.51 19.23 12.08 55.44 0.07 85.68 3.36 83.6 4.7 83.61
2021 1 3 17 22.23 15.46 18.84 12.82 65.38 0.06 85.73 2.67 81.59 3.95 81.58
2021 1 3 18 20.14 16.31 18.23 13.55 78.56 0.07 85.79 1.94 77.2 3.12 77.11
2021 1 3 19 19.04 16.26 17.65 13.49 83.81 0.04 85.86 2.14 73.22 3.39 73.28
2021 1 3 20 18.15 16.27 17.21 13.49 88.69 0.02 85.91 2.12 69.96 3.36 70.13
2021 1 3 21 17.3 16.22 16.76 13.43 93.25 0.02 85.95 1.89 68.73 3.05 68.83
2021 1 3 22 16.58 16.15 16.36 13.37 97.12 0.02 85.94 1.62 70.61 2.67 70.72
2021 1 3 23 16.32 16.05 16.18 13.31 98.06 0.02 85.87 1.56 74.92 2.52 74.93
2021 1 4 0 16.11 15.83 15.97 13.12 98.12 0.02 85.8 1.51 80.78 2.39 80.78
2021 1 4 1 15.82 15.53 15.68 12.88 98 0.03 85.74 1.46 86.92 2.28 86.86
2021 1 4 2 15.49 15.18 15.33 12.57 97.88 0.02 85.72 1.47 92.44 2.3 92.53
2021 1 4 3 15.16 14.85 15.01 12.33 97.88 0.02 85.73 1.41 96.34 2.23 96.63
2021 1 4 4 14.83 14.56 14.7 12.08 98.06 0.02 85.75 1.38 98.77 2.2 99.19
2021 1 4 5 14.81 14.4 14.61 11.96 97.25 0.02 85.81 1.7 97.91 2.59 98.15
2021 1 4 6 16.3 15 15.65 12.45 91.81 0.01 85.87 2.46 91.27 3.37 91.33
2021 1 4 7 19.17 15.36 17.26 12.7 78.44 0.01 85.89 2.85 75.09 3.8 75.11
2021 1 4 8 21.67 15.05 18.36 12.45 65.94 0.01 85.88 2.84 60.82 3.69 60.89
2021 1 4 9 23.27 15.31 19.3 12.7 60.81 0.02 85.84 2.68 51.99 3.42 52.06
2021 1 4 10 24.42 15.55 19.99 12.88 57.62 0.02 85.79 2.6 46.09 3.3 46.06
2021 1 4 11 25.26 15.6 20.43 12.94 55 0.02 85.75 2.57 42.04 3.25 42.08
2021 1 4 12 25.82 15.59 20.7 12.94 53.19 0.03 85.69 2.55 39.9 3.23 39.89
2021 1 4 13 25.83 15.43 20.63 12.82 52.56 0.06 85.64 2.43 40.44 3.08 40.48
2021 1 4 14 25.74 15.4 20.57 12.82 52.75 0.1 85.58 2.3 43.07 2.92 43.05
2021 1 4 15 25.16 15.22 20.19 12.63 53.94 0.12 85.55 2.21 46.87 2.83 46.79
2021 1 4 16 24.34 15.13 19.73 12.57 56.31 0.11 85.57 2.16 50.14 2.85 50.23
2021 1 4 17 22.97 15.98 19.48 13.31 64.69 0.11 85.6 1.69 50.8 2.5 50.95
2021 1 4 18 20.71 17.13 18.92 14.28 79.94 0.1 85.65 1.18 48.49 2.24 48.25
2021 1 4 19 19.46 16.86 18.16 14.04 84.81 0.11 85.68 1.27 44.5 2.41 44.47
2021 1 4 20 18.68 16.57 17.62 13.79 87.38 0.1 85.72 1.53 41.9 2.68 42.05
2021 1 4 21 17.98 16.43 17.2 13.67 90.5 0.09 85.76 1.75 41.02 2.91 41.08
2021 1 4 22 17.3 16.33 16.82 13.55 93.88 0.05 85.76 1.77 41.42 2.9 41.51
2021 1 4 23 16.73 16.24 16.48 13.49 96.75 0.05 85.72 1.64 41.52 2.71 41.96
2021 1 5 0 16.5 16.22 16.36 13.49 98.06 0.05 85.67 1.52 42.49 2.49 42.96
2021 1 5 1 16.33 16.14 16.23 13.43 98.56 0.05 85.64 1.34 44.53 2.24 45.14
2021 1 5 2 16.15 16.01 16.08 13.31 98.94 0.03 85.64 1.16 48.01 2.02 48.61
2021 1 5 3 15.93 15.84 15.89 13.18 99.25 0.02 85.65 1.05 52.28 1.94 52.85
2021 1 5 4 15.69 15.65 15.67 13 99.62 0.01 85.67 0.98 56.69 1.93 57.21
2021 1 5 5 15.82 15.67 15.74 13 98.88 0.01 85.71 1.11 57.65 2.01 58.16
2021 1 5 6 17.57 16.4 16.98 13.61 92.69 0 85.76 2.05 52.91 2.78 52.87
2021 1 5 7 19.97 16.65 18.31 13.85 81.12 0 85.79 2 49.28 2.58 49.17
2021 1 5 8 22.83 16.21 19.52 13.43 66.12 0.02 85.79 1.92 54.44 2.41 54.61
2021 1 5 9 24.63 16.06 20.35 13.31 58.81 0.04 85.75 1.95 48.25 2.43 48.26
2021 1 5 10 25.89 16.14 21.01 13.43 54.81 0.08 85.69 1.94 35.99 2.42 36.05
2021 1 5 11 26.81 16.29 21.55 13.55 52.38 0.11 85.63 1.94 24.5 2.41 24.57
2021 1 5 12 27.33 16.39 21.86 13.67 51.19 0.15 85.57 1.96 15.48 2.43 15.46
2021 1 5 13 27.49 16.44 21.97 13.67 50.88 0.21 85.51 2.01 7.59 2.51 7.68
2021 1 5 14 27.17 16.4 21.79 13.67 51.69 0.29 85.45 2.01 2.9 2.53 2.83
2021 1 5 15 26.62 16.31 21.47 13.61 53.06 0.27 85.42 2.03 1.76 2.6 1.89
2021 1 5 16 25.71 16.37 21.04 13.67 56.25 0.22 85.45 2.11 4.46 2.81 4.47
2021 1 5 17 24.19 17.36 20.78 14.53 65.56 0.21 85.51 1.72 7.58 2.57 7.69
2021 1 5 18 21.89 18.42 20.15 15.56 80.62 0.22 85.57 1.25 10.4 2.3 10.17
2021 1 5 19 20.7 18.3 19.5 15.38 85.94 0.21 85.64 1.35 11.38 2.45 11.24
2021 1 5 20 19.94 18.13 19.03 15.2 89.19 0.18 85.7 1.52 11.25 2.62 11.34
2021 1 5 21 19.27 18.04 18.65 15.14 92.38 0.14 85.74 1.51 11.37 2.58 11.34
2021 1 5 22 18.6 17.8 18.2 14.89 95 0.1 85.72 1.32 10.24 2.36 10.3
2021 1 5 23 18.01 17.55 17.78 14.71 97.06 0.08 85.65 1.06 7.65 2.06 7.85
2021 1 6 0 17.54 17.3 17.42 14.47 98.31 0.06 85.59 0.85 5.29 1.86 5.3
2021 1 6 1 17.27 17.12 17.19 14.28 98.88 0.05 85.56 0.77 7.56 1.76 7.16
2021 1 6 2 17.08 16.99 17.04 14.16 99.25 0.01 85.55 0.78 12.65 1.73 12.22
2021 1 6 3 16.94 16.88 16.9 14.1 99.5 0 85.56 0.86 17.45 1.77 17.23
2021 1 6 4 16.81 16.78 16.8 13.98 99.69 0 85.62 0.96 17.99 1.87 18.28
2021 1 6 5 17.07 16.88 16.98 14.04 98.62 0.01 85.69 1.18 12.57 2.06 12.93
2021 1 6 6 18.88 17.69 18.29 14.83 92.69 0.01 85.75 2.21 6.09 3.03 6.06
2021 1 6 7 21.19 18.23 19.71 15.32 83.06 0.03 85.76 2.26 358.41 2.95 358.48
2021 1 6 8 23.59 18.11 20.85 15.2 71.19 0.03 85.74 1.92 349.42 2.41 349.35
2021 1 6 9 25.35 18.03 21.69 15.14 63.81 0.03 85.69 1.65 345.77 2.05 345.86
2021 1 6 10 26.53 18.04 22.29 15.14 59.56 0.04 85.64 1.42 343.75 1.75 343.91
2021 1 6 11 27.27 18.07 22.67 15.2 57.12 0.04 85.58 1.07 340.91 1.3 341.13
2021 1 6 12 27.8 18.06 22.93 15.2 55.38 0.05 85.52 0.63 338.86 0.76 338.96
2021 1 6 13 28.04 17.87 22.96 15.01 53.94 0.07 85.46 0.16 333.43 0.19 335.56
2021 1 6 14 27.89 17.55 22.72 14.71 53.31 0.08 85.41 0.3 142.52 0.35 142.35
2021 1 6 15 27.05 17.43 22.23 14.59 55.62 0.1 85.41 0.83 146.46 1.05 147.14
2021 1 6 16 26.01 18.14 22.08 15.26 61.81 0.16 85.46 1.04 139.26 1.46 139.57
2021 1 6 17 24.65 18.93 21.79 16.05 70.44 0.23 85.53 1.05 127.13 1.67 126.82
2021 1 6 18 23.08 20.03 21.55 17.21 82.94 0.33 85.6 0.78 112.97 1.45 112.83
2021 1 6 19 22.19 20.16 21.18 17.33 88.12 0.5 85.67 0.77 93.5 1.4 94.47
2021 1 6 20 21.55 19.91 20.73 17.03 90.25 0.76 85.72 0.92 78.79 1.54 78.92
2021 1 6 21 21.05 19.78 20.41 16.91 92.31 1.19 85.73 1.08 71.43 1.71 71.32
2021 1 6 22 20.71 19.8 20.26 16.91 94.44 1.49 85.7 1.06 69.69 1.64 69.67
2021 1 6 23 20.48 19.82 20.15 16.97 95.81 1.33 85.63 0.97 74.18 1.55 74.21
2021 1 7 0 20.27 19.71 19.99 16.85 96.44 1.01 85.57 1.09 82.16 1.77 82.12
2021 1 7 1 20.12 19.55 19.83 16.66 96.31 0.81 85.52 1.59 78.69 2.52 78.72
2021 1 7 2 20.03 19.48 19.76 16.6 96.44 0.7 85.51 1.78 62.19 2.76 62.2
2021 1 7 3 19.96 19.44 19.69 16.54 96.62 0.56 85.52 1.76 43.74 2.75 43.85
2021 1 7 4 19.88 19.37 19.63 16.48 96.75 0.39 85.57 1.92 31.88 2.98 31.81
2021 1 7 5 19.86 19.33 19.59 16.42 96.56 0.19 85.61 2.08 24.84 3.18 24.8
2021 1 7 6 20.17 19.46 19.82 16.54 95.56 0.06 85.65 2.38 22.36 3.48 22.42
2021 1 7 7 20.73 19.58 20.15 16.66 92.94 0.03 85.69 2.62 22.44 3.72 22.47
2021 1 7 8 21.49 19.33 20.4 16.42 87.38 0.05 85.72 2.95 23.1 4.12 22.97
2021 1 7 9 22.37 18.93 20.65 15.99 80.75 0.1 85.72 2.87 25.66 3.9 25.49
2021 1 7 10 23.26 18.55 20.9 15.62 74.69 0.13 85.7 2.52 29.5 3.34 29.45
2021 1 7 11 24.12 18.27 21.19 15.38 69.75 0.17 85.66 2.2 28.66 2.84 28.61
2021 1 7 12 24.73 18.11 21.42 15.2 66.5 0.18 85.6 2.02 20.82 2.59 20.84
2021 1 7 13 25.45 18.14 21.8 15.26 63.88 0.14 85.52 2.03 13.82 2.59 13.78
2021 1 7 14 25.56 18.01 21.78 15.14 62.88 0.09 85.47 1.89 13.4 2.42 13.27
2021 1 7 15 25.34 17.89 21.62 15.01 63.25 0.04 85.46 1.6 17.64 2.05 17.74
2021 1 7 16 24.94 17.91 21.43 15.08 64.94 0.03 85.48 1.34 21.61 1.76 21.66
2021 1 7 17 23.94 18.76 21.35 15.87 72.69 0.03 85.52 1.04 19.8 1.64 19.73
2021 1 7 18 21.85 19.55 20.7 16.66 86.69 0.03 85.56 0.78 12.78 1.77 12.5
2021 1 7 19 20.9 18.97 19.94 16.05 88.5 0.03 85.57 1.04 9.04 2.18 8.45
2021 1 7 20 20.58 19.02 19.8 16.11 90.62 0.03 85.6 1.11 2.02 2.09 359.79
2021 1 7 21 20.31 19.24 19.78 16.36 93.44 0.03 85.68 0.85 336.25 1.62 333.06
2021 1 7 22 20.08 19.23 19.65 16.3 94.75 0.04 85.68 0.88 321.1 1.63 318.89
2021 1 7 23 19.83 19.15 19.49 16.24 95.81 0.17 85.62 0.93 315.34 1.66 312.71
2021 1 8 0 19.58 19.03 19.3 16.17 96.56 0.23 85.53 0.8 314.2 1.42 310.77
2021 1 8 1 19.37 18.91 19.14 16.05 97.12 0.11 85.49 0.45 315.71 0.89 311.42
2021 1 8 2 19.27 18.84 19.05 15.99 97.25 0.07 85.51 0.21 285.07 0.5 291.8
2021 1 8 3 19.23 18.75 18.98 15.87 96.94 0.04 85.52 0.16 290.22 0.33 283.71
2021 1 8 4 18.94 18.49 18.72 15.62 97.06 0.01 85.51 0.31 331.5 0.74 336.41
2021 1 8 5 18.9 18.52 18.72 15.62 97.5 0.01 85.57 0.28 327.65 0.66 331.61
2021 1 8 6 19.69 18.86 19.28 15.99 94.81 0.01 85.63 0.29 237.99 0.42 238.67
2021 1 8 7 20.8 19.03 19.92 16.11 89.44 0 85.63 0.38 34.99 0.48 35.75
2021 1 8 8 22.31 19.11 20.71 16.24 82.06 0 85.61 2.02 20.32 2.69 20.01
2021 1 8 9 23.65 18.89 21.27 15.99 74.56 0 85.59 3.04 10.96 4.11 11.07
2021 1 8 10 24.58 18.72 21.65 15.81 69.75 0 85.56 3.27 2.88 4.42 2.94
2021 1 8 11 25.4 18.51 21.95 15.62 65.5 0.02 85.5 3.03 351.56 4.05 351.57
2021 1 8 12 25.79 18.51 22.15 15.62 64.12 0.05 85.46 2.84 339.52 3.77 339.65
2021 1 8 13 25.43 18.63 22.03 15.75 65.94 0.08 85.42 2.7 331.51 3.63 331.45
2021 1 8 14 24.94 18.8 21.87 15.93 68.62 0.07 85.4 2.53 324.15 3.43 324.17
2021 1 8 15 24.36 18.92 21.64 16.05 71.56 0.07 85.39 2.35 316.61 3.24 316.56
2021 1 8 16 23.65 19.09 21.37 16.24 75.5 0.1 85.4 2.13 310.4 3.04 310.31
2021 1 8 17 22.65 19.64 21.15 16.78 83 0.26 85.42 1.68 306.28 2.57 306.21
2021 1 8 18 21.23 19.53 20.38 16.66 89.94 0.96 85.43 1.44 304.64 2.48 304.34
2021 1 8 19 20.59 19.28 19.94 16.42 92.06 1.23 85.46 1.43 298.66 2.47 298.76
2021 1 8 20 20.26 19.35 19.8 16.48 94.38 1.31 85.58 0.99 280.95 1.83 280.35
2021 1 8 21 20.09 19.38 19.74 16.48 95.5 1.7 85.64 0.82 273.81 1.53 272.05
2021 1 8 22 19.65 19.06 19.36 16.17 96.25 1.77 85.61 0.76 237.12 1.48 237.32
2021 1 8 23 19.32 18.79 19.05 15.87 96.56 1.57 85.55 1 200.14 1.79 201.29
2021 1 9 0 18.91 18.5 18.7 15.62 97.25 1.27 85.47 1.13 186.73 1.99 187.68
2021 1 9 1 18.7 18.32 18.51 15.44 97.5 1.05 85.42 1.13 182.39 1.93 183.48
2021 1 9 2 18.56 18.23 18.39 15.38 97.75 0.95 85.4 1.03 181.74 1.76 182.8
2021 1 9 3 18.45 18.15 18.3 15.26 97.88 0.83 85.42 0.88 182.56 1.58 183.4
2021 1 9 4 18.38 18.09 18.24 15.2 98 0.7 85.47 0.93 175.2 1.69 176.29
2021 1 9 5 18.51 18.14 18.33 15.26 97.5 0.65 85.52 1.45 160.2 2.38 160.85
2021 1 9 6 19.45 18.63 19.05 15.75 94.94 0.68 85.55 2.6 151.28 3.77 151.36
2021 1 9 7 20.58 18.97 19.77 16.05 90.31 0.64 85.55 3.21 140.03 4.5 140
2021 1 9 8 22.15 19.09 20.62 16.24 82.69 0.51 85.55 3.21 133.42 4.38 133.55
2021 1 9 9 23.22 18.98 21.1 16.11 77 0.4 85.53 2.93 129.59 3.95 129.54
2021 1 9 10 23.87 18.86 21.37 15.99 73.44 0.36 85.48 2.76 127.65 3.71 127.64
2021 1 9 11 24.32 18.77 21.55 15.93 71.06 0.38 85.43 2.67 127.04 3.59 126.94
2021 1 9 12 24.66 18.76 21.71 15.93 69.62 0.41 85.38 2.61 125.98 3.5 125.92
2021 1 9 13 24.8 18.75 21.77 15.93 69 0.45 85.36 2.43 119.04 3.26 119.15
2021 1 9 14 24.72 18.7 21.71 15.87 69.06 0.51 85.35 2.1 105.74 2.81 105.66
2021 1 9 15 24.4 18.71 21.55 15.87 70.5 0.61 85.34 1.83 90.49 2.47 90.36
2021 1 9 16 23.8 19.01 21.41 16.17 74.44 0.66 85.36 1.63 77.23 2.26 77.02
2021 1 9 17 22.75 19.63 21.19 16.78 82.44 0.62 85.39 1.13 65.39 1.8 65.33
2021 1 9 18 21.09 19.73 20.41 16.91 91.81 0.61 85.43 0.65 53.27 1.47 53.19
2021 1 9 19 20.4 19.15 19.78 16.3 92.44 0.69 85.44 0.63 35.46 1.41 35.54
2021 1 9 20 20.24 18.62 19.43 15.75 90.25 0.84 85.41 0.46 1.94 0.86 1.56
2021 1 9 21 19.83 18.2 19.01 15.38 90.25 0.78 85.36 0.33 198 0.57 199.92
2021 1 9 22 18.97 18.21 18.59 15.38 95.25 0.88 85.4 0.83 127.3 1.67 127.57
2021 1 9 23 18.76 18.18 18.47 15.32 96.25 0.98 85.36 1.01 104.79 1.84 104.27
2021 1 10 0 18.55 18.02 18.29 15.2 96.62 0.86 85.3 1.23 99.88 2.06 99.18
2021 1 10 1 18.46 17.95 18.21 15.14 96.69 0.62 85.27 1.54 93.78 2.44 93.3
2021 1 10 2 18.41 17.9 18.15 15.08 96.62 0.41 85.27 1.79 85.49 2.77 85.32
2021 1 10 3 18.35 17.87 18.11 15.01 96.88 0.25 85.29 1.75 82.3 2.74 82.29
2021 1 10 4 18.23 17.83 18.03 15.01 97.31 0.19 85.35 1.41 83.97 2.27 83.68
2021 1 10 5 18.31 17.86 18.08 15.01 97.06 0.23 85.43 1.36 70.83 2.19 70.59
2021 1 10 6 18.94 18.13 18.54 15.26 94.94 0.26 85.5 2.1 55.9 3.05 56.07
2021 1 10 7 19.87 18.41 19.14 15.5 91.19 0.19 85.53 2.67 46.42 3.76 46.52
2021 1 10 8 20.9 18.31 19.61 15.44 85.06 0.15 85.54 2.74 32.78 3.78 33.1
2021 1 10 9 22.08 18.01 20.05 15.14 77.62 0.16 85.52 2.43 6.46 3.27 6.87
2021 1 10 10 23.28 17.76 20.52 14.89 71 0.16 85.48 2.35 338.13 3.09 338.36
2021 1 10 11 24.37 17.55 20.97 14.71 65.62 0.12 85.41 2.38 313.93 3.1 313.88
2021 1 10 12 25.18 17.57 21.37 14.77 62.62 0.08 85.35 2.37 297.49 3.06 297.48
2021 1 10 13 25.19 17.5 21.35 14.71 62.31 0.07 85.3 2.14 287.64 2.75 287.66
2021 1 10 14 25.16 17.56 21.37 14.77 62.62 0.06 85.26 1.95 279.2 2.52 279.29
2021 1 10 15 24.85 17.61 21.23 14.83 64.06 0.05 85.24 1.88 270.48 2.46 270.55
2021 1 10 16 24.29 17.8 21.05 15.01 67 0.05 85.26 1.82 261.84 2.44 261.9
2021 1 10 17 23.25 18.48 20.87 15.62 74.5 0.04 85.31 1.34 254.74 2.01 254.67
2021 1 10 18 21.37 18.92 20.15 16.05 85.75 0.04 85.36 0.83 251.91 1.76 251.89
2021 1 10 19 20.4 18.51 19.46 15.69 88.75 0.04 85.38 0.83 259.11 1.87 258.41
2021 1 10 20 19.73 18.22 18.97 15.38 90.88 0.06 85.36 0.91 259.65 1.92 259.92
2021 1 10 21 19.41 18.38 18.9 15.5 93.62 0.05 85.49 0.6 237.13 1.33 236.78
2021 1 10 22 18.99 18.19 18.59 15.32 95 0.04 85.49 0.63 241.22 1.26 240.56
2021 1 10 23 18.62 18.04 18.33 15.2 96.31 0.03 85.46 0.65 243.43 1.28 243.43
2021 1 11 0 18.37 17.9 18.14 15.08 97.06 0.04 85.42 0.57 245.56 1.2 245.77
2021 1 11 1 18.22 17.84 18.03 15.01 97.56 0.02 85.36 0.51 225 1.1 230.19
2021 1 11 2 18.51 17.91 18.21 15.08 96.25 0.01 85.32 0.51 185.27 0.92 187.79
2021 1 11 3 18.35 17.9 18.12 15.08 97.12 0.02 85.31 0.6 115.24 1.17 112.8
2021 1 11 4 18.26 17.83 18.05 15.01 97.19 0.03 85.38 1.3 80.99 2.16 82.1
2021 1 11 5 18.51 17.96 18.23 15.08 96.44 0.04 85.47 2.24 74.41 3.45 74.64
2021 1 11 6 19.05 18.24 18.65 15.38 94.88 0.06 85.53 3.16 77.13 4.65 77.2
2021 1 11 7 20.14 18.4 19.26 15.5 89.56 0.07 85.55 4.08 81.75 5.82 81.74
2021 1 11 8 22.26 18.01 20.13 15.14 76.81 0.06 85.55 4.6 78.84 6.4 78.88
2021 1 11 9 24.3 17.69 20.99 14.83 66.5 0.06 85.55 4.35 74.27 5.91 74.27
2021 1 11 10 25.5 17.78 21.64 14.95 62.31 0.07 85.52 3.99 70.18 5.34 70.16
2021 1 11 11 26.2 17.83 22.02 14.95 59.94 0.09 85.46 3.74 70.62 4.99 70.63
2021 1 11 12 26.69 17.76 22.23 14.89 57.94 0.13 85.39 3.59 72.79 4.8 72.86
2021 1 11 13 26.65 17.66 22.15 14.83 57.75 0.14 85.34 3.5 73.55 4.72 73.57
2021 1 11 14 25.97 17.78 21.87 14.95 60.56 0.12 85.32 3.34 74.96 4.58 74.87
2021 1 11 15 25.15 17.94 21.55 15.14 64.25 0.11 85.32 3.18 76.51 4.43 76.53
2021 1 11 16 24.08 18.16 21.12 15.32 69.44 0.13 85.36 2.92 76.86 4.19 76.85
2021 1 11 17 22.73 18.83 20.78 15.99 78.5 0.15 85.42 2.17 75.61 3.28 75.67
2021 1 11 18 21.25 19.13 20.19 16.24 87.5 0.18 85.48 1.58 74.79 2.59 74.79
2021 1 11 19 20.56 18.98 19.77 16.11 90.5 0.21 85.54 1.68 72.07 2.73 72.03
2021 1 11 20 20.11 18.89 19.5 15.99 92.56 0.25 85.58 1.8 70 2.89 69.95
2021 1 11 21 19.74 18.87 19.3 15.99 94.56 0.29 85.59 1.92 67.72 3.02 67.81
2021 1 11 22 19.52 18.91 19.22 16.05 96.12 0.3 85.54 2.06 66.74 3.2 66.82
